Manufacturer,Title (AKA -combo_field),sku (AKA - Model Name),list_price,sale_price,Product Alert (currently called Short Description),Product Description,features,specifications,What's in the box,call_for_sale_quote,manufacturer_id,manufacturer model id,Product number 2014
Canon USA,Canon 5253B002 EOS-1D X Kit,5253B002,9000,5999,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,0,29,CA-5253B002,8001
Sony Electronics Inc,Sony ECM88B Electret Condenser Lavalier Microphone,ECM88B,663,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1,SON-ECM88B,
Canon USA,Canon 7622B001 CN-E15.5 - 47mm T2.8 L SP    (PL mount),7622B001,24500,23275,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,29,CA-7622B001,
Canon USA,Canon 7623B001 CN-E30 - 105mm T2.8 L SP   (PL mount),7623B001,24500,23275,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon CN-E30-105mm T2.8 L SP Telephoto Cinema Zoom Lens with PL Mount<BR><BR></SPAN>",0,29,CA-7623B001,
Sound Devices,Sound Devices PIX 240i,PIX 240i,3389,3389,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Video Devices PIX 240i 5&quot; Portable Video Recorder &amp; Monitor<BR>100-240 VAC Power Adapter</SPAN>",0,72,SNDD-PIX 240i,
Canon USA,Canon 6569B001 CN-E24mm T1.5 L F,6569B001,5500,5220,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon CN-E 24mm T1.5 L F Cine Lens<BR></SPAN>",0,29,CA-6569B001,
Canon USA,Canon 6570B001 CN-E50mm T1.3 L F,6570B001,5200,4950,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon CN-E 50mm T1.3 L F Cine Lens<BR></SPAN>",0,29,CA-6570B001,
Canon USA,Canon 6571B001 CN-E85mm T1.3 L F,6571B001,5200,4950,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon CN-E 85mm T1.3 L F Cine Lens<BR></SPAN>",0,29,CA-6571B001,
Sony Electronics Inc,Sony PMW F5 Cinealta 4K Digital Cinema Camera,PMWF5,19400,16490,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1,SON-PMWF5,
Sony Electronics Inc,Sony PMW F55 Cinealta 4K Digital Cinema Camera,PMWF55,34927.71,28990,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1,SON-PMWF55,
"BlackMagic Design",BlackMagic Design BMD-CINECAMPOCHDMFT Blackmagic Pocket Cinema Camera,BMD-CINECAMPOCHDMFT,995,995,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,0,83,BMD-BMD-CINECAMPOCHDMFT,
Canon USA,Canon 5175B002 EF 24–70mm f/2.8L II USM,5175B002,3100,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon EF 24-70mm f/2.8L II USM Lens<BR>E-82 II 82mm Lens Cap<BR>Lens Dust Cap E (Rear)<BR>LP1219 Soft Lens Case<BR>EW-88C Tulip Lens Hood for EF 24-70mm f/2.8L II USM Lens<BR></SPAN>",1,29,CA-5175B002,
Zeiss,"Zeiss 1868-913 CP.2 18 T3.6 - PL, feet",1868-913,3990,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Aperture<BR>T 3.6 to T 22<BR><BR>Close Focus<BR>0.3 m / 12''<BR><BR>Length<BR>80 mm / 3.15''<BR><BR>Front diameter<BR>114 mm / 4.5''<BR><BR>Weight<BR>0.9 kg / 2.0 lbs<BR><BR>AOV<BR>69&deg;</SPAN>","<SPAN STYLE= """" >Zeiss Compact Prime CP.2 18mm f/3.6 T PL <BR>1-year Warranty</SPAN>",1,66,ZS-1868-913,
Zeiss,"Zeiss 1868-092 CP.2  21 T2.9 - PL, feet",1868-092,3990,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Aperture<BR>T 2.9 to T 22<BR><BR>Close Focus<BR>0.24 m / 10''<BR><BR>Length<BR>80 mm / 3.15''<BR><BR>Front diameter<BR>114 mm / 4.5''<BR><BR>Weight<BR>1.0 kg / 2.2 lbs<BR><BR>AOV<BR>61&deg;</SPAN>","<SPAN STYLE= """" >Zeiss Compact Prime CP.2 21mm/T2.9 Cine Lens (PL Mount)<BR>2 Year Warranty</SPAN>",1,66,ZS-1868-092,
Zeiss,"Zeiss 1835-434 CP.2  50 T2.1 - PL, feet",1835-434,3990,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Aperture<BR>T 2.1 to T 22<BR><BR>Close Focus<BR>0.45 m / 18''<BR><BR>Length<BR>80 mm / 3.15''<BR><BR>Front diameter<BR>114 mm / 4.5''<BR><BR>Weight<BR>0.9 kg / 2.0 lbs<BR><BR>AOV<BR>28&deg;<BR><BR></SPAN>","<SPAN STYLE= """" >Zeiss Compact Prime CP.2 50mm/T2.1 Cine Lens (PL Mount)<BR>2 Year Warranty</SPAN>",1,66,ZS-1835-434,
Zeiss,"Zeiss 1794-633 CP.2  85 T2.1 - PL, feet",1794-633,3990,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Aperture<BR>T 2.1 to T 22<BR><BR>Close Focus<BR>1 m / 3'3''<BR><BR>Length<BR>80 mm / 3.15''<BR><BR>Front Diameter<BR>114 mm / 4.5''<BR><BR>Weight<BR>0.9 kg / 2.0 lbs<BR><BR>AOV<BR>17&deg;</SPAN>","<SPAN STYLE= """" >Zeiss Compact Prime CP.2 85mm/T2.1 Cine Lens (PL Mount)<BR>2 Year Warranty</SPAN>",1,66,ZS-1794-633
Zeiss,"Zeiss 1842-769 CP.2  100 CF T2.1 - PL, feet",1842-769,4900,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Aperture<BR>T 2.1 to T 22<BR><BR>Close Focus<BR>0.7 m / 2'6''<BR><BR>Length<BR>132 mm / 5.19''<BR><BR>Front Diameter<BR>114 mm / 4.5''<BR><BR>Weight<BR>1.5 kg / 3.3 lbs<BR><BR>AOV<BR>14&deg;<BR><BR></SPAN>","<SPAN STYLE= """" >Zeiss Compact Prime CP.2 100mm/T2.1 CF Cine Lens (PL Mount)<BR>2 Year Warranty</SPAN>",1,66,ZS-1842-769
Zeiss,"Zeiss 1981-906 CP.2  135 T2.1 - PL, feet",1981-906,5700,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Aperture<BR>T 2.1 to T 22<BR><BR>Close Focus<BR>1 m / 3'3''<BR><BR>Length<BR>149 mm / 5.86''<BR><BR>Front Diameter<BR>114 mm / 4.5''<BR><BR>Weight<BR>1.6 kg / 3.5 lbs<BR><BR>AOV<BR>11&deg;<BR></SPAN>","<SPAN STYLE= """" >Zeiss Compact Prime CP.2 135mm/T2.1 PL Mount <BR>2-Year Limited Warranty</SPAN>",1,66,ZS-1981-906
Canon USA,Canon 8325B001AB CN-E14mm T3.1 L F,8325B001,5500,5220,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon CN-E 14mm T3.1 L F Cinema Prime Lens (EF Mount)<BR></SPAN>",0,29,CA-8325B001
Canon USA,Canon 8326B001AB CN-E135mm T2.2 L F,8326B001,5200,4950,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon CN-E 135mm T2.2 L F Cinema Prime Lens (EF Mount)</SPAN>",0,29,CA-8326B001
Sony Electronics Inc,"Sony AXSR5 2K, 4K, RAW Recorder for PMW-F5, PMW-F55",AXSR5,6294.12,5350,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,0,1,SON-AXSR5
Canon USA,Canon 6994B002 EOS-1D C (Body Only),6994B002,15000,7999,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,0,29,CA-6994B002
Convergent Design,Convergent Design Odyssey7 OLED Monitor & Recorder,CD-Odyssey7,,1295,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Convergent Design Odyssey7 OLED Monitor &amp; Recorder<BR>AC Adapter</SPAN>",0,187,CD-CD-Odyssey7
Litepanels,Litepanels 905-4023 Croma On-Camera LED Light,905-4023,649,585,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Litepanels Croma On-Camera LED Light<BR>100-240V AC Adapter<BR>Padded Ballistic Nylon Carrying Case<BR>Diffusion Filter<BR>Ball Head Shoe Mount</SPAN>",0,89,BLP-905-4023
Canon USA,Canon 9139B001 CN-E35mm T1.5 L F,9139B001,5200,4950,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Canon CN-E 35mm T1.5 L F Cine Prime Lens EF Mount<BR>Front Lens Cap<BR>Rear Lens Cap</SPAN>",0,29,CA-9139B001
"FUJIFILM Optical Devices U.S.A., Inc.",Fujinon 19-90mm T2.9 Cabrio Premier PL Lens (ZK4.7x19),ZK4.7x19,39800,39800,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,31,FN-ZK4.7x19
Sachtler,Sachtler 1863S1 System 18 S1 ENG 2 MCF,1863S1,9320,,,###############################################################################################################################################################################################################################################################,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Sachtler System 18 S1 ENG 2 MCF<BR>Video 18 S1 Fluid Head<BR>Telescoping Pan Bar<BR>ENG 2 CF Tripod<BR>Mid-level Spreader<BR>3 x Rubber Feet<BR>Padded Bag</SPAN>",1,63,SAC-1863S1
Sound Devices,Sound Devices PIX 270i,PIX 270i,5799,5625,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >PIX 270i Video Recorder &amp; Network Connected Video Deck<BR>Power Supply<BR>10-Pin Phoenix Screw Terminal Black<BR>4 x Adhesive Rubber Feet<BR>User Guide and Technical Documentation<BR>Purchase Registration Card</SPAN>",0,72,SNDD-PIX 270i
Sony Electronics Inc,Sony PVMA170 17-inch Professional OLED Picture Monitor,PVMA170,4899.99,3920,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1,SON-PVMA170
Panasonic,Panasonic DMC-GH4KBODY 16 MP Multi-media DSLM Camera,DMC-GH4KBODY,1699.99,1699.99,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,0,28,PAN-DMC-GH4KBODY
Panasonic,Panasonic DMC-GH4-YAGH KIT,DMC-GH4-YAGH,3299.99,3299.99,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,###############################################################################################################################################################################################################################################################,0,28,PAN-DMC-GH4-YAGH
Panasonic,Panasonic DMW-YAGH  Professional 4K Audio Video Interface unit for Lumix GH4,DMW-YAGH,1999.99,1999.99,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Professional 4K audio video interface unit for LUMIX GH4<BR><BR>XLR monaural 2ch terminals (Line / Mic. / Condenser Mic. Input)<BR><BR>Audio level display monitor<BR><BR>3G-SDI video output terminal plus time code</SPAN>",###############################################################################################################################################################################################################################################################,,0,28,PAN-DMW-YAGH
Zylight LLC,Zylight LLC 26-01019 F8-T LED Fresnel,26-01019,2400,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Zylight F8 LED Fresnel (Tungsten)<BR>F8-D Tungsten-Balanced Fresnel Light<BR>Universal AC Adapter for F8 LED Fresnel<BR>AC Adapter Bag<BR>Replacement Barndoors for F8 LED Fresnels<BR>Yoke Mount<BR>User Guide</SPAN>",1,88,ZY-26-01019
"Aja Video Systems, Inc.","AJA Ki Pro Portable Digital File Recorder, with Apple ProRes 422",Ki Pro,2495,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >AJA Ki-PRO Portable ProRes File Recorder<BR>250GB KiStor Hard Disk Drive for Ki Pro<BR>KI-IOX-ACADPT-R0 12VDC Power Adapter for Ki Pro<BR>AC Adapter for Storage Module</SPAN>",1,2,AJA-Ki Pro
"Aja Video Systems, Inc.",AJA Ki Pro Mini,Ki Pro Mini,1495,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >10-bit 4:2:2 Recording<BR>Records to CF Cards<BR>Ready to Edit Files<BR>HD/SD-SDI, HDMI<BR>ProRes 422 QuickTime Files<BR>XLR Audio Input</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >AJA Ki Pro Mini Compact Field Recorder<BR>110/220V AC Adapter w/4-pin XLR Connector<BR>3 Year Warranty</SPAN>",1,2,AJA-Ki Pro Mini
"Aja Video Systems, Inc.","AJA Ki Pro Rack Rackmount file-based recorder/player, with ProRes 422 and DNxHD",Ki Pro Rack,3995,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >AJA Ki Pro Rack<BR>3-Year International Warranty</SPAN>",1,2,AJA-Ki Pro Rack
"Aja Video Systems, Inc.",AJA Io XT 10-bit 3G/Dual-Link/HD/SD I/O via Thunderbolt,Io XT,,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >AJA Io XT Professional Capture &amp; Playback Device with Thunderbolt<BR>AC Adapter<BR>AJA Technical Support<BR>AJA Control Room Software<BR>3 Year Limited Warranty</SPAN>",1,2,AJA-Io XT
Canon USA,Canon 9785B001 CINE-SERVO 17-120MM T2.95 EF,9785B001,33000,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,29,CA-9785B001
Canon USA,Canon 9785B002 CINE-SERVO 17-120MM T2.95 PL,9785B002,33000,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,29,CA-9785B002
Canon USA,Canon 0044C006 EOS C300 EF 24-70 KIT with Dual Pixel CMOS AF Feature Upgrade,0044C006,20499,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,29,CA-0044C006
Canon USA,Canon 7428B002 EOS C100 with Dual Pixel CMOS AF Feature Upgrade,7428B002,6999,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,29,CA-7428B002
Fastec Imaging,Fastec Imaging TS3Cine High Speed Portable Camera with 128 GB,TS3Cine,15900,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >TS3 Cine<BR>8GB Memory Image <BR>128GB Built-in SSD, <BR>Nikon Mount with C-mount </SPAN>",1,1203,FTI-TS3Cine
"FUJIFILM Optical Devices U.S.A., Inc.",FUJIFILM ZK3.5x85 PL 85-300 Cabrio Lens,ZK3.5x85,42000,,,###############################################################################################################################################################################################################################################################,,###############################################################################################################################################################################################################################################################,,1,31,FN-ZK3.5x85
Kino Flo,"Kino Flo KIT-D42-120 Diva-Lite 401 Kit, 120VAC (2-Unit) w/ Flight Case",KIT-D42-120,3425,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >2 Diva-Lite 401<BR>2 Flozier, Full<BR>2 Offset Mount<BR>2 Medium Duty Stand<BR>2 Lamp Case<BR>1 Flight Case</SPAN>",1,38,KF-KIT-D42-120
Kino Flo,"Kino Flo KIT-D22-120 Diva-Lite 201 Kit, 120VAC (2-Unit) w/ Flight Case",KIT-D22-120,2675,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Dimensions <BR>22.5 x 13.5 x 33.5&quot; <BR>(57 x 34.5 x 85cm)<BR>Weight<BR>55 lb (25kg)</SPAN>","<SPAN STYLE= ""font-family: 'Verdana';font-size: 14px;"" >2 Diva-Lite 201<BR>2 Flozier, Full<BR>2 Offset Mount <BR>2 Medium Duty Stand <BR>1 Lamp Case<BR>1 Flight Case<BR></SPAN>",1,38,KF-KIT-D22-120
LaCie,LaCie 9000330U LaCie 4big Quadra USB 3.0  16TB,9000330U,1399,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Arial';font-size: 14px;color: #666666;"" >USB 3.0 Speed: Up to 245MB/s<BR>Multi-interface for PC/Mac compatibility<BR>RAID 5 and hot-swap for speed with security<BR>Aluminum enclosure and quiet operation</SPAN>",###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >LaCie 4big Quadra USB 3.0 (including 4 x hard disks)<BR>USB 3.0 cable (USB 2.0 compatible)<BR>FireWire 800 cable<BR>External power supply<BR>Quick Install Guide<BR>CD with User Manual and software<BR>Cable management</SPAN>",1,69,LC-9000330U
Canon USA,Canon 9592B002 XF205,9592B002,4400,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >XF205<BR>Lens Hood With Lens Barrier<BR>Eyecup<BR>Microphone Holder Unit<BR>Battery Pack BP-955&dagger;<BR>Compact Power Adapter CA-930<BR>DC Cable DC-930<BR>Wireless Controller WL-D6000<BR>Data Import Utility</SPAN>",1,29,CA-9592B002
