Manufacturer,Title (AKA -combo_field),sku (AKA - Model Name),list_price,sale_price,Product Alert (currently called Short Description),Product Description,features,specifications,What's in the box,call_for_sale_quote,manufacturer_id,manufacturer model id,Product number 2014
Vinten,"Vinten 3983-3C Pro-Ped Studio Pedestal (125mm wheels, cable guards and track locks)",3983-3C,11545,,,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= ""font-family: 'Tahoma';font-size: 11px;color: #323232;"" >Lightweight two-stage pedestals Built in pump for easy counterbalance Easy to transport </SPAN>",###############################################################################################################################################################################################################################################################,,1,104,VIN-3983-3C,
Sony Electronics Inc,Sony NEXFS100UK Super 35mm NXCAM camcorder with Lens,NEXFS100UK,3450,2999,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1,SON-NEXFS100UK,
Sony Electronics Inc,Sony NEXFS100U NXCAM Super 35mm camcorder without Lens,NEXFS100U,2850,2499,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1,SON-NEXFS100U,7996
Fastec Imaging,Fastec Imaging TS3Cine High Speed Portable Camera with 256 GB,TS3Cine256,16900,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,1,1203,FTI-TS3Cine256,
TVLogic,Alphatron EVF 035-3G Designed and Manufacturer by TVLogic,EVF 035-3G,1395,1395,,"<SPAN STYLE= """" >TVLogic has developed EVF035W-3G, a 3.5&quot; display at 960x640, in collaboration with Alphatron Broadcast Electronics. See below for a list of the features.</SPAN>",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,0,1092,TVL-EVF 035-3G,
Canon USA,Canon XF305 HD Camcorder,4454B001,7999,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,29,CA-4454B001
Canon USA,Canon XF300 HD Camcorder,4457B001,6799,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,29,CA-4457B001
Canon USA,Canon XF100 HD Camcorder,4888B001,3300,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,29,CA-4888B001
Canon USA,Canon XF105 HD Camcorder,4885B001,4300,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,1,29,CA-4885B001
Sennheiser,Sennheiser MKE400 Small shotgun microphone for cameras with a lighting shoe mount and external microphone input,MKE400,259,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"<SPAN STYLE= """" >Sennheiser MKE 400 Compact Video Camera Shotgun Microphone<BR>MKE 400 with 1/8&quot; (3.5mm) TRS Mini Cable and Shockmount<BR>AAA Alkaline Battery<BR>Windscreen</SPAN>",1,12,SENN-MKE400
